date,retail_index,flags,year,month,month_name,quarter,day_of_week,rolling_12m_avg,ema_12m,yoy_growth_pct,mom_growth_pct
1996-06-01,80.1,,1996,6,June,2,Saturday,85.10000000000001,84.24410826867101,-1.597051597051613,-4.1866028708133936
1996-07-01,83.4,,1996,7,July,3,Monday,85.13333333333334,84.11424545810624,0.4819277108433883,4.119850187265928
1996-08-01,80.8,,1996,8,August,3,Thursday,85.14166666666667,83.6043615414745,0.1239157372986188,-3.117505995203851
1996-09-01,84.0,,1996,9,September,3,Sunday,85.225,83.66522899663227,1.2048192771084263,3.960396039603964
1996-10-01,87.7,,1996,10,October,4,Tuesday,85.31666666666668,84.28596299715038,1.2702078521940052,4.404761904761911
1996-11-01,90.9,,1996,11,November,4,Friday,85.325,85.30350715143493,0.1101321585903258,3.648802736602064
1996-12-01,106.5,,1996,12,December,4,Sunday,85.16666666666667,88.56450605121417,-1.7527675276752808,17.161716171617147
1997-01-01,79.4,,1997,1,January,1,Wednesday,85.25,87.15458204333507,1.2755102040816313,-25.446009389671357
1997-02-01,74.7,,1997,2,February,1,Saturday,85.24166666666666,85.2384924982066,-0.1336898395721819,-5.91939546599497
1997-03-01,85.7,,1997,3,March,1,Saturday,85.20833333333333,85.30949365232865,-0.464576074332157,14.725568942436418
1997-04-01,84.4,,1997,4,April,2,Tuesday,85.10000000000001,85.16957155197039,-1.516919486581092,-1.516919486581092
1997-05-01,83.3,,1997,5,May,2,Thursday,85.075,84.88194515935956,-0.3588516746411474,-1.3033175355450344
1997-06-01,80.9,,1997,6,June,2,Sunday,85.14166666666667,84.26933821176578,0.998751560549338,-2.881152460984382
1997-07-01,82.3,,1997,7,July,3,Tuesday,85.05,83.96636310226334,-1.3189448441247142,1.7305315203955285
1997-08-01,78.0,,1997,8,August,3,Friday,84.81666666666668,83.04846108653052,-3.4653465346534573,-5.224787363304984
1997-09-01,81.8,,1997,9,September,3,Monday,84.63333333333334,82.85639015014121,-2.619047619047621,4.871794871794877
1997-10-01,88.3,,1997,10,October,4,Wednesday,84.68333333333334,83.69386858858103,0.68415051311288,7.946210268948661
1997-11-01,89.3,,1997,11,November,4,Saturday,84.55,84.55635034418394,-1.760176017601767,1.1325028312570762
1997-12-01,104.3,,1997,12,December,4,Monday,84.36666666666666,87.59383490661718,-2.0657276995305174,16.79731243001119
1998-01-01,78.0,,1998,1,January,1,Thursday,84.25,86.11786030559915,-1.7632241813602123,-25.215723873442
1998-02-01,74.8,,1998,2,February,1,Sunday,84.25833333333334,84.37665102781467,0.1338688085676054,-4.10256410256411
1998-03-01,87.8,,1998,3,March,1,Sunday,84.43333333333334,84.90332010045857,2.450408401400228,17.37967914438503
1998-04-01,83.7,,1998,4,April,2,Wednesday,84.375,84.71819393115726,-0.82938388625593,-4.669703872437347
