date,retail_index,flags,year,month,month_name,quarter,day_of_week,rolling_12m_avg,ema_12m,yoy_growth_pct,mom_growth_pct
2013-07-01,95.4,,2013,7,July,3,Monday,94.4,94.08881320152372,2.580645161290329,2.580645161290329
2013-08-01,92.0,,2013,8,August,3,Thursday,94.51666666666668,93.76745732436623,1.5452538631346655,-3.563941299790363
2013-09-01,93.2,,2013,9,September,3,Sunday,94.6,93.68015619754068,1.0845986984815648,1.304347826086949
2013-10-01,98.0,,2013,10,October,4,Tuesday,94.65833333333336,94.34474755176518,0.7194244604316502,5.150214592274671
2013-11-01,100.0,,2013,11,November,4,Friday,94.89166666666668,95.21478638995517,2.8806584362139898,2.0408163265306145
2013-12-01,111.2,,2013,12,December,4,Sunday,95.02500000000002,97.67405002226974,1.4598540145985384,11.20000000000001
2014-01-01,88.4,,2014,1,January,1,Wednesday,95.15833333333332,96.2472730957667,1.8433179723502449,-20.503597122302157
2014-02-01,85.6,,2014,2,February,1,Saturday,95.35833333333336,94.60923108103336,2.8846153846153744,-3.167420814479649
2014-03-01,99.0,,2014,3,March,1,Saturday,95.54166666666669,95.2847339916436,2.2727272727272707,15.654205607476634
2014-04-01,97.3,,2014,4,April,2,Tuesday,95.725,95.59477491600612,2.3133543638275578,-1.7171717171717171
2014-05-01,95.9,,2014,5,May,2,Thursday,95.75,95.64173262123596,0.313807531380772,-1.4388489208633004
2014-06-01,95.3,,2014,6,June,2,Sunday,95.94166666666668,95.58915837181502,2.473118279569886,-0.6256517205422418
2014-07-01,96.0,,2014,7,July,3,Tuesday,95.99166666666667,95.65236477615116,0.6289308176100628,0.734522560335793
2014-08-01,94.1,,2014,8,August,3,Friday,96.16666666666669,95.41353942597408,2.2826086956521774,-1.9791666666666765
2014-09-01,93.7,,2014,9,September,3,Monday,96.20833333333331,95.14991797582422,0.5364806866952732,-0.4250797024441977
2014-10-01,99.7,,2014,10,October,4,Wednesday,96.34999999999998,95.8499305949282,1.73469387755103,6.403415154749204
2014-11-01,100.5,,2014,11,November,4,Saturday,96.39166666666664,96.56532588801618,0.4999999999999893,0.8024072216650024
2014-12-01,113.4,,2014,12,December,4,Monday,96.575,99.1552757513983,1.9784172661870605,12.8358208955224
2015-01-01,90.5,,2015,1,January,1,Thursday,96.75,97.8236948665678,2.37556561085972,-20.194003527336868
2015-02-01,87.4,,2015,2,February,1,Sunday,96.90000000000002,96.22004950248044,2.102803738317771,-3.425414364640877
2015-03-01,100.1,,2015,3,March,1,Sunday,96.99166666666667,96.81696496363728,1.1111111111111072,14.530892448512578
2015-04-01,100.0,,2015,4,April,2,Wednesday,97.21666666666664,97.30666266153924,2.774922918807809,-0.0999000999000965
2015-05-01,100.6,,2015,5,May,2,Friday,97.60833333333336,97.81332994437936,4.900938477580796,0.6000000000000005
2015-06-01,98.0,,2015,6,June,2,Monday,97.83333333333331,97.84204841447485,2.833158447009443,-2.5844930417495027
2015-07-01,101.1,,2015,7,July,3,Wednesday,98.25833333333333,98.34327173532486,5.312499999999987,3.1632653061224536
2015-08-01,97.1,,2015,8,August,3,Saturday,98.50833333333333,98.1519991606595,3.188097768331555,-3.956478733926805
2015-09-01,98.0,,2015,9,September,3,Tuesday,98.86666666666666,98.1286146744042,4.589114194236932,0.9268795056642798
2015-10-01,103.4,,2015,10,October,4,Thursday,99.175,98.93959703218816,3.7111334002005942,5.5102040816326525
2015-11-01,105.6,,2015,11,November,4,Sunday,99.59999999999998,99.96427441185152,5.074626865671639,2.127659574468077
2015-12-01,119.6,,2015,12,December,4,Tuesday,100.11666666666667,102.98515527156668,5.467372134038784,13.257575757575758
2016-01-01,93.5,,2016,1,January,1,Friday,100.36666666666667,101.52590061440256,3.3149171270718147,-21.822742474916375
2016-02-01,90.2,,2016,2,February,1,Monday,100.59999999999998,99.78345436603294,3.203661327231111,-3.529411764705881
2016-03-01,102.4,,2016,3,March,1,Tuesday,100.79166666666669,100.18599984818172,2.29770229770232,13.52549889135255
2016-04-01,101.8,,2016,4,April,2,Friday,100.94166666666666,100.43430756384606,1.8000000000000016,-0.5859375000000111
2016-05-01,101.7,,2016,5,May,2,Sunday,101.03333333333332,100.62902947710052,1.093439363817117,-0.098231827111983
2016-06-01,99.4,,2016,6,June,2,Wednesday,101.15000000000002,100.43994801908504,1.4285714285714235,-2.26155358898722
2016-07-01,102.6,,2016,7,July,3,Friday,101.275,100.7722637084566,1.4836795252225476,3.2193158953722323
2016-08-01,99.0,,2016,8,August,3,Monday,101.43333333333334,100.49960775330942,1.9567456230690008,-3.508771929824561
2016-09-01,98.8,,2016,9,September,3,Thursday,101.5,100.23812963741568,0.8163265306122325,-0.2020202020202033
2016-10-01,107.8,,2016,10,October,4,Saturday,101.86666666666666,101.40149430858249,4.255319148936154,9.109311740890693
2016-11-01,108.6,,2016,11,November,4,Tuesday,102.11666666666667,102.50895672264672,2.840909090909083,0.7421150278293043
2016-12-01,123.6,,2016,12,December,4,Thursday,102.45,105.7537326114703,3.3444816053511683,13.812154696132596
2017-01-01,96.3,,2017,1,January,1,Sunday,102.68333333333332,104.29931220970565,2.99465240641712,-22.0873786407767
2017-02-01,94.1,,2017,2,February,1,Wednesday,103.00833333333334,102.7301872543663,4.32372505543237,-2.2845275181723856
2017-03-01,109.5,,2017,3,March,1,Wednesday,103.6,103.7716969075407,6.93359375,16.365568544102025
2017-04-01,107.1,,2017,4,April,2,Saturday,104.04166666666669,104.28374353714982,5.206286836935159,-2.1917808219178103
2017-05-01,107.6,,2017,5,May,2,Monday,104.53333333333336,104.79393683912676,5.801376597836772,0.4668534080298769
2017-06-01,105.8,,2017,6,June,2,Thursday,105.06666666666666,104.9487157869534,6.438631790744465,-1.6728624535315983
2017-07-01,107.5,,2017,7,July,3,Saturday,105.475,105.34122105049904,4.775828460038989,1.606805293005675
2017-08-01,103.0,,2017,8,August,3,Tuesday,105.80833333333334,104.9810331965761,4.040404040404044,-4.1860465116279055
2017-09-01,105.8,,2017,9,September,3,Friday,106.39166666666668,105.10702808941056,7.085020242914975,2.718446601941737
2017-10-01,109.9,,2017,10,October,4,Sunday,106.56666666666668,105.8444083833474,1.9480519480519651,3.875236294896034
2017-11-01,114.9,,2017,11,November,4,Wednesday,107.09166666666664,107.23757632437088,5.8011049723756924,4.549590536851689
2017-12-01,128.8,,2017,12,December,4,Friday,107.525,110.55487227446768,4.207119741100329,12.097476066144486
2018-01-01,100.0,,2018,1,January,1,Monday,107.83333333333331,108.93104577070342,3.842159916926269,-22.360248447204977
2018-02-01,96.3,,2018,2,February,1,Thursday,108.01666666666668,106.98780795982596,2.3379383634431594,-3.7000000000000033
2018-03-01,111.2,,2018,3,March,1,Thursday,108.15833333333332,107.63583750446811,1.5525114155251265,15.47248182762202
2018-04-01,112.7,,2018,4,April,2,Sunday,108.625,108.41493942685766,5.228758169934644,1.3489208633093552
2018-05-01,110.8,,2018,5,May,2,Tuesday,108.89166666666668,108.7818718227257,2.973977695167296,-1.685891748003554
2018-06-01,109.9,,2018,6,June,2,Friday,109.23333333333332,108.95389154230637,3.875236294896034,-0.8122743682310363
2018-07-01,110.8,,2018,7,July,3,Sunday,109.50833333333333,109.23790822810538,3.0697674418604715,0.8189262966332933
2018-08-01,106.6,,2018,8,August,3,Wednesday,109.80833333333334,108.83207619301226,3.495145631067964,-3.790613718411551
2018-09-01,107.7,,2018,9,September,3,Saturday,109.96666666666664,108.65791062485653,1.7958412098298735,1.0318949343339767
2018-10-01,114.3,,2018,10,October,4,Monday,110.33333333333331,109.5259243748786,4.003639672429471,6.128133704735372
2018-11-01,119.0,,2018,11,November,4,Thursday,110.675,110.98347447105112,3.568320278503045,4.111986001749779
2018-12-01,128.7,,2018,12,December,4,Saturday,110.66666666666669,113.7090937831971,-0.077639751552816,8.151260504201673
2019-01-01,104.3,,2019,1,January,1,Tuesday,111.025,112.26154089347447,4.299999999999993,-18.95881895881896
2019-02-01,102.0,,2019,2,February,1,Friday,111.5,110.6828422944784,5.919003115264809,-2.205177372962608
2019-03-01,115.8,,2019,3,March,1,Friday,111.88333333333334,111.47009732609712,4.136690647482011,13.52941176470588
2019-04-01,115.6,,2019,4,April,2,Monday,112.125,112.10546696823602,2.573203194321194,-0.1727115716752991
2019-05-01,113.4,,2019,5,May,2,Wednesday,112.34166666666668,112.30462589619972,2.3465703971119245,-1.903114186851196
2019-06-01,115.1,,2019,6,June,2,Saturday,112.775,112.73468345063053,4.7315741583257465,1.4991181657848296
2019-07-01,115.6,,2019,7,July,3,Monday,113.175,113.17550138130277,4.332129963898912,0.4344048653344812
2019-08-01,111.2,,2019,8,August,3,Thursday,113.55833333333332,112.87157809187156,4.315196998123838,-3.806228373702414
2019-09-01,112.1,,2019,9,September,3,Sunday,113.925,112.75287377004516,4.085422469823574,0.8093525179855954
2019-10-01,117.2,,2019,10,October,4,Tuesday,114.16666666666664,113.43704703619204,2.5371828521434825,4.549509366636939
2019-11-01,123.6,,2019,11,November,4,Friday,114.55,115.00057826139329,3.865546218487381,5.460750853242313
2019-12-01,133.5,,2019,12,December,4,Sunday,114.95,117.84664314425584,3.729603729603737,8.009708737864084
2020-01-01,108.0,,2020,1,January,1,Wednesday,115.25833333333334,116.33177496821648,3.547459252157248,-19.10112359550562
2020-02-01,106.0,,2020,2,February,1,Saturday,115.59166666666668,114.7422711269524,3.9215686274509887,-1.851851851851849
2020-03-01,118.6,,2020,3,March,1,Sunday,115.825,115.33576787665204,2.4179620034542326,11.886792452830177
2020-04-01,111.4,,2020,4,April,2,Wednesday,115.475,114.73026512639788,-3.633217993079574,-6.07082630691399
2020-05-01,123.5,,2020,5,May,2,Friday,116.31666666666666,116.07945510695204,8.906525573192226,10.8617594254937
2020-06-01,121.3,,2020,6,June,2,Monday,116.83333333333331,116.88261585972865,5.386620330147696,-1.7813765182186247
2020-07-01,123.0,,2020,7,July,3,Wednesday,117.45,117.82375188130884,6.401384083044981,1.4014839241550003
2020-08-01,120.5,,2020,8,August,3,Saturday,118.225,118.2354823611075,8.36330935251799,-2.032520325203257
2020-09-01,119.5,,2020,9,September,3,Tuesday,118.84166666666664,118.43002353632173,6.601248884924171,-0.8298755186721962
2020-10-01,129.4,,2020,10,October,4,Thursday,119.85833333333336,120.11771222304144,10.409556313993184,8.284518828451892
2020-11-01,136.8,,2020,11,November,4,Sunday,120.95833333333331,122.68421803488124,10.679611650485455,5.71870170015456
2020-12-01,139.0,,2020,12,December,4,Tuesday,121.41666666666669,125.1943383372072,4.119850187265928,1.6081871345029253
2021-01-01,102.7,,2021,1,January,1,Friday,120.975,121.73367090071378,-4.907407407407405,-26.115107913669068
2021-02-01,103.8,,2021,2,February,1,Monday,120.79166666666669,118.97464460829627,-2.075471698113207,1.071080817916248
2021-03-01,129.5,,2021,3,March,1,Monday,121.7,120.59393005317376,9.190556492411472,24.75915221579963
2021-04-01,120.7,,2021,4,April,2,Thursday,122.475,120.61024850653163,8.348294434470382,-6.795366795366798
2021-05-01,125.3,,2021,5,May,2,Saturday,122.625,121.33174873629602,1.457489878542506,3.81110190555094
2021-06-01,129.9,,2021,6,June,2,Tuesday,123.34166666666664,122.64994123840432,7.089859851607594,3.671189146049492
2021-07-01,125.5,,2021,7,July,3,Thursday,123.55,123.08841181711136,2.0325203252032464,-3.387220939183988
2021-08-01,122.6,,2021,8,August,3,Sunday,123.725,123.01327153755577,1.742738589211612,-2.3107569721115606
2021-09-01,120.5,,2021,9,September,3,Wednesday,123.80833333333334,122.6266143779318,0.8368200836819994,-1.712887438825439
2021-10-01,130.4,,2021,10,October,4,Friday,123.89166666666668,123.82251985824998,0.7727975270479082,8.215767634854787
2021-11-01,140.1,,2021,11,November,4,Monday,124.16666666666669,126.32674757236536,2.4122807017543657,7.438650306748462
2021-12-01,145.5,,2021,12,December,4,Wednesday,124.70833333333331,129.27647871507838,4.6762589928057485,3.854389721627416
2022-01-01,121.7,,2022,1,January,1,Saturday,126.29166666666669,128.11086660506632,18.50048685491723,-16.3573883161512
2022-02-01,119.8,,2022,2,February,1,Tuesday,127.625,126.83227174274842,15.41425818882467,-1.561216105176666
2022-03-01,138.3,,2022,3,March,1,Tuesday,128.35833333333332,128.59653762847944,6.795366795366808,15.4424040066778
2022-04-01,132.6,,2022,4,April,2,Friday,129.35,129.21245491640568,9.859154929577452,-4.121475054229951
2022-05-01,134.9,,2022,5,May,2,Sunday,130.15,130.08746185234327,7.661612130885875,1.7345399698341035
2022-06-01,131.0,,2022,6,June,2,Wednesday,130.24166666666667,130.22785233659815,0.8468052347959887,-2.89103039288362
2022-07-01,135.4,,2022,7,July,3,Friday,131.0666666666667,131.0235673617369,7.888446215139444,3.358778625954195
2022-08-01,129.8,,2022,8,August,3,Monday,131.66666666666666,130.83532622916198,5.872756933115841,-4.1358936484490405
2022-09-01,133.0,,2022,9,September,3,Thursday,132.70833333333334,131.16835296313707,10.373443983402495,2.4653312788905923
2022-10-01,137.9,,2022,10,October,4,Saturday,133.33333333333334,132.20399096880828,5.751533742331283,3.684210526315801
2022-11-01,146.4,,2022,11,November,4,Tuesday,133.85833333333332,134.3879923582224,4.496788008565322,6.1638868745467645
2022-12-01,151.5,,2022,12,December,4,Thursday,134.35833333333332,137.02060891849587,4.123711340206193,3.4836065573770503
2023-01-01,124.7,,2023,1,January,1,Sunday,134.60833333333332,135.12513062334267,2.465078060805248,-17.68976897689769
2023-02-01,122.9,,2023,2,February,1,Wednesday,134.86666666666667,133.24434129667458,2.5876460767946696,-1.443464314354448
2023-03-01,139.0,,2023,3,March,1,Wednesday,134.92499999999998,134.12982725103234,0.5061460592913791,13.10008136696501
2023-04-01,137.5,,2023,4,April,2,Saturday,135.33333333333334,134.64831536625812,3.6953242835595863,-1.0791366906474864
2023-05-01,141.1,,2023,5,May,2,Monday,135.85,135.64088223298762,4.595997034840615,2.6181818181818084
2023-06-01,138.0,,2023,6,June,2,Thursday,136.43333333333334,136.0038234279126,5.343511450381677,-2.1970233876683176
2023-07-01,139.6,,2023,7,July,3,Saturday,136.78333333333333,136.5570813620799,3.101920236336775,1.1594202898550732
2023-08-01,132.5,,2023,8,August,3,Tuesday,137.00833333333333,135.932914998683,2.080123266563927,-5.085959885386815
2023-09-01,132.9,,2023,9,September,3,Friday,137.0,135.4663126911933,-0.0751879699248059,0.3018867924528434
2023-10-01,141.6,,2023,10,October,4,Sunday,137.3083333333333,136.4099568925482,2.683103698332112,6.546275395033852
2023-11-01,147.7,,2023,11,November,4,Wednesday,137.41666666666666,138.14688660138694,0.8879781420764843,4.307909604519766
2023-12-01,154.2,,2023,12,December,4,Friday,137.64166666666668,140.6165963550197,1.7821782178217838,4.400812457684489
2024-01-01,126.3,Provisional value,2024,1,January,1,Monday,137.775,138.41404306963207,1.2830793905372897,-18.09338521400777
2024-02-01,122.9,Provisional value,2024,2,February,1,Thursday,137.775,136.0272672127656,0.0,-2.69200316706254
2024-03-01,143.4,Provisional value,2024,3,March,1,Friday,138.14166666666668,137.16153379541706,3.1654676258992875,16.680227827502026
2024-04-01,140.3,Provisional value,2024,4,April,2,Monday,138.375,137.64437474996828,2.036363636363636,-2.1617852161785134
2024-05-01,141.2,Provisional value,2024,5,May,2,Wednesday,138.38333333333333,138.19139401920393,0.0708717221828525,0.6414825374198019
2024-06-01,137.3,Provisional value,2024,6,June,2,Saturday,138.32500000000002,138.05425647778793,-0.5072463768115876,-2.7620396600566366
2024-07-01,141.4,Provisional value,2024,7,July,3,Monday,138.475,138.56898625043596,1.2893982808023008,2.9861616897305154
2024-08-01,136.7,Provisional value,2024,8,August,3,Thursday,138.82500000000002,138.28144990421504,3.169811320754712,-3.323903818953333
2024-09-01,139.2,Provisional value,2024,9,September,3,Sunday,139.35,138.42276530356656,4.740406320541757,1.8288222384784223
2024-10-01,146.8,Provisional value,2024,10,October,4,Tuesday,139.78333333333333,139.7115706414794,3.672316384180796,5.4597701149425415
2024-11-01,154.5,Provisional value,2024,11,November,4,Friday,140.35,141.98671361971333,4.603926878808395,5.245231607629419
2024-12-01,161.0,Provisional value,2024,12,December,4,Sunday,140.91666666666666,144.91183460129588,4.409857328145272,4.207119741100329
2025-01-01,132.9,Provisional value,2025,1,January,1,Wednesday,141.46666666666667,143.06386004725036,5.225653206650849,-17.453416149068325
2025-02-01,130.6,Provisional value,2025,2,February,1,Saturday,142.10833333333332,141.14634311690415,6.26525630593977,-1.7306245297216027
2025-03-01,151.3,Provisional value,2025,3,March,1,Saturday,142.76666666666668,142.70844417584198,5.509065550906556,15.84992343032161
2025-04-01,147.9,Provisional value,2025,4,April,2,Tuesday,143.4,143.5071450718663,5.41696364932287,-2.2471910112359605
2025-05-01,148.0,Provisional value,2025,5,May,2,Thursday,143.96666666666667,144.19835352234838,4.815864022662897,0.0676132521974182
2025-06-01,146.4,Provisional value,2025,6,June,2,Sunday,144.725,144.53706836506402,6.627822286962859,-1.0810810810810811
2025-07-01,148.3,Provisional value,2025,7,July,3,Tuesday,145.3,145.11598092428494,4.879773691654887,1.297814207650272
2025-08-01,141.2,Provisional value,2025,8,August,3,Friday,145.67499999999998,144.5135223205488,3.291880029261152,-4.787592717464618
2025-09-01,142.8,Provisional value,2025,9,September,3,Monday,145.975,144.2499035020028,2.586206896551735,1.1331444759207
2025-10-01,150.8,Provisional value,2025,10,October,4,Wednesday,146.30833333333334,145.25761065554084,2.7247956403269717,5.602240896358546
